"","task_id","step_id","p","w","item_selection","action","feedback","immediate_score","total_score","timestamp","prolific_id"
"1","p1",1,0.2,1.5,"a","E","NA",500,500,1702480139057,"6518281be94831275dd1a9d0"
"2","p1",2,0.2,1.5,"a-d","F","0",0,500,1702480142032,"6518281be94831275dd1a9d0"
"3","p1",3,0.2,1.5,"a-b","F","0",0,500,1702480144520,"6518281be94831275dd1a9d0"
"4","p1",4,0.2,1.5,"c-e","F","0",0,500,1702480149535,"6518281be94831275dd1a9d0"
"5","p1",5,0.2,1.5,"b-f","F","0",0,500,1702480151597,"6518281be94831275dd1a9d0"
"6","p1",6,0.2,1.5,"a-e","F","0",0,500,1702480156159,"6518281be94831275dd1a9d0"
"7","p1",7,0.2,1.5,"e-f","F","0",0,500,1702480158018,"6518281be94831275dd1a9d0"
"8","p1",8,0.2,1.5,"b-c","F","0",0,500,1702480159761,"6518281be94831275dd1a9d0"
"9","p1",9,0.2,1.5,"b-d","F","1",0,500,1702480161755,"6518281be94831275dd1a9d0"
"10","p1",10,0.2,1.5,"[bd]","E","NA",750,1250,1702480165205,"6518281be94831275dd1a9d0"
"11","p2",1,0.2,1.5,"a","E","NA",500,500,1702480170285,"6518281be94831275dd1a9d0"
"12","p2",2,0.2,1.5,"a","E","NA",500,1000,1702480170923,"6518281be94831275dd1a9d0"
"13","p2",3,0.2,1.5,"a","E","NA",500,1500,1702480171566,"6518281be94831275dd1a9d0"
"14","p2",4,0.2,1.5,"a","E","NA",500,2000,1702480172794,"6518281be94831275dd1a9d0"
"15","p2",5,0.2,1.5,"a","E","NA",500,2500,1702480173286,"6518281be94831275dd1a9d0"
"16","p2",6,0.2,1.5,"a","E","NA",500,3000,1702480173750,"6518281be94831275dd1a9d0"
"17","p2",7,0.2,1.5,"a","E","NA",500,3500,1702480174217,"6518281be94831275dd1a9d0"
"18","p2",8,0.2,1.5,"a","E","NA",500,4000,1702480174715,"6518281be94831275dd1a9d0"
"19","p2",9,0.2,1.5,"a","E","NA",500,4500,1702480179347,"6518281be94831275dd1a9d0"
"20","p2",10,0.2,1.5,"a","E","NA",500,5000,1702480180918,"6518281be94831275dd1a9d0"
"21","t1",1,0.2,1.5,"c-e","F","0",0,0,1702480189778,"6518281be94831275dd1a9d0"
"22","t1",2,0.2,1.5,"b-f","F","0",0,0,1702480197176,"6518281be94831275dd1a9d0"
"23","t1",3,0.2,1.5,"a","E","NA",500,500,1702480198991,"6518281be94831275dd1a9d0"
"24","t1",4,0.2,1.5,"a","E","NA",500,1000,1702480199769,"6518281be94831275dd1a9d0"
"25","t1",5,0.2,1.5,"a","E","NA",500,1500,1702480200546,"6518281be94831275dd1a9d0"
"26","t1",6,0.2,1.5,"a","E","NA",500,2000,1702480201200,"6518281be94831275dd1a9d0"
"27","t1",7,0.2,1.5,"a","E","NA",500,2500,1702480201785,"6518281be94831275dd1a9d0"
"28","t1",8,0.2,1.5,"a","E","NA",500,3000,1702480202386,"6518281be94831275dd1a9d0"
