"","prolific_id","date","time","assignment","age","sex","total_score","task_duration","engagement","difficulty","strategy","feedback","token","start_time"
"1","574fe6b5cac74a000654223f","2023_11_29","16_18_32","bhl","50","female",31402,398110,"8","8","Fuse one item with itself the do the same with the result then repeat this in order to maximise its energy then extract as many times as I have left. ","It would have been interesting to know what the maximum achievable was and how I did against that.","VEB9GC92",1701184253139
"2","6489f0c7254b85ac21c38538","2023_11_29","11_22_33","bll","25","female",27875,366087,"7","8","Not bothering fusing since harvesting the 500 base xp was more worth it than discovering new higher values at a lesser frequency","No","M3IP3AXJ",1701184526233
"3","5ed6c1c29e50c21348065f98","2023_11_29","17_22_54","blh","50","male",39900,303280,"10","6","To try to fusion some crystals first and depending on the ammount of fails I decide to keep trying or to start gathering the XP","","SJX5LVJV",1701184610009
"4","5af3f91dda66b50001248acb","2023_11_29","16_23_20","bhh","46","female",9234,414538,"8","1","Use different labelled crystals each time even though it didnt matter.  Continue fusing until it felt like time to cash in.","","WJEGPPMB",1701184525322
"5","64a80e9e1e6bb6588060be11","2023_11_29","18_23_26","bhh","42","male",34263,347579,"8","5","Random but starting with some kind of logic like A+b then a+c etc","Fun thanks","7J9GXKIT",1701184597717
"6","5fb054e79c356e41b802260a","2023_11_29","16_24_01","blh","25","male",11850,280288,"8","3","I originally was going to just fuse 3 times and then extract whatever I had left but the reward felt too goodfun to not keep fusing","","1VW73BPF",1701184700474
"7","6144f7e2bf25aad25ae610a1","2023_11_29","11_22_36","bhl","58","female",20978,318510,"2","2","Try to fuse the fusion results together","","KBN7UT7P",1701184577064
"8","636928ef51cdaf360bebba1e","2023_11_29","16_26_34","bhl","50","male",32265,436016,"7","4","Keep trying for new crystals until I had about 2-3 goes left and then extract the highest crystal I had found.","","QN0IU0PN",1701184697437
"9","6228bd321fe427209105c61a","2023_11_29","16_27_19","bhl","57","male",3825,312066,"9","8","i was trying next one on","it was tough","KRX65QJM",1701184866001
"10","6123519eeb9d4e4df41ad7d8","2023_11_29","16_27_55","bhh","41","female",73143,302745,"10","3","I tried to fuse the biggest crystal and extract on my last turn","It was fun :)","MGCS9TZR",1701184911558
"11","60a1df1e914fe0c136d827e7","2023_11_29","16_28_16","bhl","22","female",27017,357793,"6","3","fuse together till about halfway then extract the xp","improve graphics maybe ","8G3JHRMS",1701184878030
"12","6075e12159e69162ee283711","2023_11_29","18_30_23","bll","25","female",24250,593871,"10","0","i went with my instincts and fuse more than extracting. ","","KBI6QFFJ",1701184768414
"13","6520860fff76cbc1a25687d6","2023_11_29","11_30_42","bhl","32","female",5632,370788,"8","6","I didnt want to run out of moves before extracting at least some points.","Very interesting I feel like I could have gotten better if I had more rounds.","GQBK19SS",1701185010988
"14","651c13aa439ec71e9de1ef6d","2023_11_29","09_30_51","bhh","35","male",699,319096,"2","3","start extracting after 4 attempts to fuse","","HLSDKT1I",1701185071403
"15","5f2b03ecbc242948c4db47a5","2023_11_29","16_32_02","bhl","32","female",27991,529153,"10","0","Discover new crystals until I had a couple of turns to extract XP.","Found it enjoyable.","C6BIWCTR",1701184931884
"16","615198887687bbc8cada1591","2023_11_29","16_32_14","bhh","44","female",360,345647,"7","3","try to maximise the combinations","none","C8DQTFHB",1701185127789
"17","5c9355225be2830001f8d948","2023_11_29","16_32_18","bll","40","female",30750,291648,"8","9","Create a new crystal and then extract the most points in a round from it.","None","99LDJAQR",1701185185394
"18","5f8ed1c0d144ff0750c5c426","2023_11_29","16_33_15","bll","53","female",27939,420553,"8","1","evaluate the randomness","","GHWS7DPZ",1701185114175
"19","602d2adcef81ce6b843da09b","2023_11_29","18_33_42","bll","20","male",22127,246825,"8","5","random fuse.","no","AD61H5MN",1701185314623
"20","653815fc6cf7a1f4c252deaa","2023_11_29","11_34_20","bhl","18","male",23630,346870,"7","3","Combine the greatest number of piece I had","No","YGYHRFVV",1701185252332
"21","654a983f88b6313f1d53636c","2023_11_29","16_34_56","bhl","24","male",23178,482616,"10","5","The experiments lead the user to almost ways take the decision to fuse. Since the 1.5x times increase happens more often than not. According to the instructions 810 times.","I quite enjoyed this activity. I think it could even succeed as a mobile game.","GR61BSFN",1701185153116
"22","6038edc05fc5993376527b9a","2023_11_29","18_37_01","blh","24","female",10800,489085,"10","9","I had no strategies","no","YA6JKO9A",1701185271709
"23","5739f0a514f69e000d7c8f1a","2023_11_29","16_37_42","bhl","53","male",16159,277064,"10","3","low risk","it was fun","ZFM0TUOA",1701185524506
"24","5fdca8f20f62f41ef567186c","2023_11_29","18_42_30","bhh","24","female",5697,618481,"10","6","Just going with the flow.","No.","G3HX7Z7N",1701185471476
"25","60be8efc2d564bcd4c8896b4","2023_11_29","18_39_03","bhl","23","male",12269,289937,"10","6","Extract 3 times. Fuse if successful then extract 2 times and fuse again.","Well constructed experiment which grasped my attention and kept me engaged","F81CGAKQ",1701185592934
"26","62a0f254a315c07e6d1e5cea","2023_11_29","16_40_18","bll","35","female",31250,228558,"9","9","Tried to fuse around 3 times. If successful fusion just extracted from the one I fused. If unsuccessful fusion after 3 attempts gave up on fusion.","No thank you","4MWAW2L5",1701185729193
"27","6548f985729af1f81c1f92eb","2023_11_29","10_43_14","bll","41","male",27250,474645,"9","7","After i realized you could extract the same one multiple times i changed my strategy to trying to fuse a couple times then extracting the highest value one multiple times","fun","IV156VY1",1701185659340
"28","5fc7694c36033201e9defeb7","2023_11_29","16_44_38","bhh","38","female",18144,465442,"10","5","repeating patterns","","43SSH7CP",1701185751863
"29","605f2177e837737f7377844d","2023_11_29","18_45_14","bhh","24","female",107,548022,"9","3","I used none","no comments","N3BF3Y49",1701185705465
"30","60e6a9e0dc37b856c7c9ecbf","2023_11_29","16_47_33","bll","56","female",25250,372934,"8","9","once I got a fused to work and kep using it","the way the questions where asked was very confusing but I did keep trying","1W0FYYN3",1701186019822
"31","56b4b530b2de2a000632cc5f","2023_11_29","16_52_06","bhl","39","female",25535,328936,"10","0","Try to keep fusing to get a highly worth crystal to then extract","","O5L5YFY7",1701186336781
"32","60a4d771dee801a5f428e1b6","2023_11_29","18_55_43","bhh","22","female",101,480995,"9","7","Try to create new combinations starting with each letter.","","JYUHMNDW",1701186401950
"33","6091c048a583f9919843aa1c","2023_11_29","16_56_19","blh","39","female",22500,527609,"9","5","To work systematically to fuse blocks to gain more XP. As soon as I found a fusion I extracted the XP and then tried to fuse that block to create an even greater XP. ","No","2JJY1U8Q",1701186390601
"34","5fcfb1fe79b8060e0662270a","2023_11_29","17_04_40","bhl","55","female",4950,422026,"10","6","i tried to maximum fusions and then continue with singles","quite interesting!","R7A1M9LE",1701186997637
"35","653fc6073035a31db0314d04","2023_11_29","17_06_47","bhh","26","male",5508,423449,"10","4","Tried to maximise the crystal XPs by fusing combinations until I am left with 3 or 4 attempts. For the last 3 or 4 attempts I then extracted the highest value crystal to secure XP points.","It was fun.","17V5K8G2",1701187123473
"36","5fe09bdac64c969d92d21898","2023_11_29","19_08_45","bhl","33","male",13739,710743,"10","5","gather as many crystals as possible to get a higher XP. Making higher fusions of crystals help.","it was very challenging but also stimulating so thank you for letting me be a part of this study.","TDN9F2NU",1701186953664
"37","62e154b0682e270b4acdf5ee","2023_11_29","17_20_23","bhh","32","male",22222,375320,"8","0","My strategy was to play around with the fusion method in regards to the crystals than determine a pattern of how to maximize my XP based on my calculations.","NA","QQL4WGKB",1701187987312
"38","6452718b6815fb279ef7098f","2023_11_29","12_30_48","bll","22","female",6000,319594,"10","10","Process of elimination ","","4LI52XR7",1701188667963
"39","6541198e1e471eaf39137012","2023_11_29","17_31_40","blh","19","male",7500,351684,"9","7","I combined the crystals and extracted the ones i could","No","YZRHCDD5",1701188687895
"40","5f49fd29edde0c564e9f83c6","2023_11_29","19_37_01","bhh","27","male",63423,473415,"10","8","Merge the newly created crystals as that gives the biggest XP reward","NA","JTTUNZY0",1701188887031
"41","63d7c49b6034452ab6c2a7e8","2023_11_29","17_39_45","bhh","32","male",16605,432683,"8","7","no strategy honestly i was just focusing on the fusion function to maximize my points","no","AAEA0F8T",1701189091714
"42","63c58429db2b7daf0f67d60d","2023_11_29","18_02_60","bhl","54","male",6000,366986,"10","0","fuse two together to maximise the points.","Very engaging and well presented. Thank you Graham","IDIYOKWT",1701190552754
"43","6164a82e96fecd05db7f6bc5","2023_11_30","16_57_31","blh","37","female",17400,338430,"8","1","Try to maximise xp if they nly fuse 210 times then only try 2-3 times before just farming available xp","","02TP8YPW",1701273052055
"44","65104d75b2c324d131f78cb3","2023_11_30","11_02_31","blh","21","female",8250,264613,"9","10","I would try to get fuse crystals but since it only happened 2 times out of 10 i had to get XP without the fuse","The quiz was more difficult than it needed to be. The questions were misleading and was hard to understand","KRIHINRO",1701273425731
