"","task_id","step_id","p","w","item_selection","action","feedback","immediate_score","total_score","timestamp","prolific_id"
"1","p1",1,0.8,1.5,"a-b","F","1",0,0,1701184259594,"574fe6b5cac74a000654223f"
"2","p1",2,0.8,1.5,"[ab]-[ab]","F","1",0,0,1701184263753,"574fe6b5cac74a000654223f"
"3","p1",3,0.8,1.5,"[[ab][ab]]-[[ab][ab]]","F","1",0,0,1701184268066,"574fe6b5cac74a000654223f"
"4","p1",4,0.8,1.5,"[[[ab][ab]][[ab][ab]]]-[[[ab][ab]][[ab][ab]]]","F","1",0,0,1701184273601,"574fe6b5cac74a000654223f"
"5","p1",5,0.8,1.5,"[[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]]-[[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]]","F","1",0,0,1701184282050,"574fe6b5cac74a000654223f"
"6","p1",6,0.8,1.5,"[[[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]][[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]]]","E","NA",1142,1142,1701184286356,"574fe6b5cac74a000654223f"
"7","p1",7,0.8,1.5,"[[[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]][[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]]]","E","NA",1142,2284,1701184287794,"574fe6b5cac74a000654223f"
"8","p1",8,0.8,1.5,"[[[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]][[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]]]","E","NA",1142,3426,1701184289169,"574fe6b5cac74a000654223f"
"9","p1",9,0.8,1.5,"[[[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]][[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]]]","E","NA",1142,4568,1701184290682,"574fe6b5cac74a000654223f"
"10","p1",10,0.8,1.5,"[[[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]][[[[ab][ab]][[ab][ab]]][[[ab][ab]][[ab][ab]]]]]","E","NA",1142,5710,1701184292162,"574fe6b5cac74a000654223f"
"11","p2",1,0.8,1.5,"a-b","F","1",0,0,1701184300649,"574fe6b5cac74a000654223f"
"12","p2",2,0.8,1.5,"[ab]-[ab]","F","1",0,0,1701184303817,"574fe6b5cac74a000654223f"
"13","p2",3,0.8,1.5,"[[ab][ab]]-[[ab][ab]]","F","0",0,0,1701184306234,"574fe6b5cac74a000654223f"
"14","p2",4,0.8,1.5,"[[ab][ab]]-a","F","1",0,0,1701184311130,"574fe6b5cac74a000654223f"
"15","p2",5,0.8,1.5,"[[[ab][ab]]a]-[[[ab][ab]]a]","F","1",0,0,1701184314978,"574fe6b5cac74a000654223f"
"16","p2",6,0.8,1.5,"[[[[ab][ab]]a][[[ab][ab]]a]]-[[[[ab][ab]]a][[[ab][ab]]a]]","F","0",0,0,1701184319554,"574fe6b5cac74a000654223f"
"17","p2",7,0.8,1.5,"[[[[ab][ab]]a][[[ab][ab]]a]]","E","NA",761,761,1701184321820,"574fe6b5cac74a000654223f"
"18","p2",8,0.8,1.5,"[[[[ab][ab]]a][[[ab][ab]]a]]","E","NA",761,1522,1701184323177,"574fe6b5cac74a000654223f"
"19","p2",9,0.8,1.5,"[[[[ab][ab]]a][[[ab][ab]]a]]","E","NA",761,2283,1701184324515,"574fe6b5cac74a000654223f"
"20","p2",10,0.8,1.5,"[[[[ab][ab]]a][[[ab][ab]]a]]","E","NA",761,3044,1701184325730,"574fe6b5cac74a000654223f"
"21","t1",1,0.8,1.5,"a-a","F","1",0,0,1701184336570,"574fe6b5cac74a000654223f"
"22","t1",2,0.8,1.5,"[aa]-[aa]","F","1",0,0,1701184339794,"574fe6b5cac74a000654223f"
"23","t1",3,0.8,1.5,"[[aa][aa]]-[[aa][aa]]","F","1",0,0,1701184343154,"574fe6b5cac74a000654223f"
"24","t1",4,0.8,1.5,"[[[aa][aa]][[aa][aa]]]-[[[aa][aa]][[aa][aa]]]","F","1",0,0,1701184347186,"574fe6b5cac74a000654223f"
"25","t1",5,0.8,1.5,"[[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]]-[[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]]","F","1",0,0,1701184350018,"574fe6b5cac74a000654223f"
"26","t1",6,0.8,1.5,"[[[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]][[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]]]","E","NA",1142,1142,1701184352554,"574fe6b5cac74a000654223f"
"27","t1",7,0.8,1.5,"[[[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]][[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]]]","E","NA",1142,2284,1701184353921,"574fe6b5cac74a000654223f"
"28","t1",8,0.8,1.5,"[[[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]][[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]]]","E","NA",1142,3426,1701184355066,"574fe6b5cac74a000654223f"
"29","t1",9,0.8,1.5,"[[[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]][[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]]]","E","NA",1142,4568,1701184356506,"574fe6b5cac74a000654223f"
"30","t1",10,0.8,1.5,"[[[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]][[[[aa][aa]][[aa][aa]]][[[aa][aa]][[aa][aa]]]]]","E","NA",1142,5710,1701184357891,"574fe6b5cac74a000654223f"
"31","t2",1,0.8,1.5,"a-a","F","1",0,0,1701184372277,"574fe6b5cac74a000654223f"
