"","prolific_id","date","time","assignment","age","sex","task_duration","engagement","difficulty","strategy","feedback","token"
"1","5c762ce8eda5da001662be0b","2023_10_19","16_15_08","0.2>0.8>0.5","28","male",363106,"10","7","Generally I would experiment with fusing for the first 5 rounds then extract the final 5 rounds. It was hard to do this all the time though. ","Thanks for the study!","JY9L6HND"
"2","6286575f2d911d52cff2db4e","2023_10_19","08_14_52","0.8>0.5>0.2","24","male",341809,"10","5","Try to fuse as far as I can before the mid point of uses however high that could get.","NA","XOMFJUA2"
"3","63e5260a19f2002a9c386a2e","2023_10_19","16_17_41","0.8>0.2>0.5","25","male",407874,"10","5","Trying to get the most combinations quickly to maximise output at the end.","Very nice experiment.","MO3IG6V3"
"4","572bc95234b25a0009dcbf7c","2023_10_19","16_18_45","0.2>0.8>0.5","40","male",487696,"10","5","Try not to end with 0...","-","N5N2ZAJI"
"5","5dbb34b222ea1813c1a0b1ee","2023_10_19","16_19_05","0.2>0.5>0.8","47","female",544679,"8","7","try to get as many successful fuses to make a high value item","","WEJ1ULA7"
"6","6108c9ff6ef4a6de22a3c162","2023_10_19","11_24_25","0.2>0.8>0.5","37","male",615328,"10","0","Depending on the shown probability of fusing crystals I made a choice whether or not it was worth risking trying to fuse crystals. For 28 I didnt really bother because chances were 25 but 510 and above there was a high enough chance that I could score a lot of points.","This experiment was one of the most fun ones I have done yet!","4F0H4J4J"
"7","5fec594488f057dbd3bdec07","2023_10_19","16_24_53","0.8>0.5>0.2","26","female",563655,"10","0","fusing as much as possible when the odds of success were higher","","XIGICSKN"
"8","5fd50a355025422fd25bb05b","2023_10_19","17_25_03","0.2>0.5>0.8","28","male",523396,"9","4","If there is a high probability of fusion I combine the resources until the last action then extract","none.","250GD9YT"
"9","598b108e504c5200011964a1","2023_10_19","17_28_28","0.2>0.8>0.5","37","female",619985,"10","5","Trying to guess if it was worth trying to get more fusions or just going with a safe bet.","none","YS8LIIUV"
"10","647420d25113966c605f59dd","2023_10_19","11_50_44","0.5>0.2>0.8","63","female",1771651,"10","0","My strategy was aiming for the max number of fusions once Id reached the halfway pointthen extract the maximum from there","I had a blast playing!","6V00RIZJ"
