"","id","condition","task_id","squareOnLeft","pcircle","psquare","pcross","step_id","action","item_selection","feedback","immediate_score","total_score","timestamp","start_time","task_sec"
"1",21,"novice",1,0,0.2,0.8,0.2,1,"E","circle-a","NA",100,100,1714484420781,1714484356970,63.811
"2",21,"novice",1,0,0.2,0.8,0.2,2,"E","circle-a","NA",100,200,1714484421878,1714484356970,64.908
"3",21,"novice",1,0,0.2,0.8,0.2,3,"E","circle-a","NA",100,300,1714484422815,1714484356970,65.845
"4",21,"novice",1,0,0.2,0.8,0.2,4,"E","circle-a","NA",100,400,1714484423815,1714484356970,66.845
"5",21,"novice",1,0,0.2,0.8,0.2,5,"E","circle-a","NA",100,500,1714484424660,1714484356970,67.69
"6",21,"novice",1,0,0.2,0.8,0.2,6,"E","circle-a","NA",100,600,1714484425488,1714484356970,68.518
"7",21,"novice",1,0,0.2,0.8,0.2,7,"E","circle-a","NA",100,700,1714484426407,1714484356970,69.437
"8",21,"novice",1,0,0.2,0.8,0.2,8,"E","circle-a","NA",100,800,1714484427244,1714484356970,70.274
"9",21,"novice",1,0,0.2,0.8,0.2,9,"E","circle-a","NA",100,900,1714484428422,1714484356970,71.452
"10",21,"novice",1,0,0.2,0.8,0.2,10,"E","circle-a","NA",100,1000,1714484429588,1714484356970,72.618
"11",21,"novice",2,0,0.8,0.2,0.2,1,"F","circle-a-circle-a","1",0,0,1714484433845,1714484356970,76.875
"12",21,"novice",2,0,0.8,0.2,0.2,2,"E","circle-[aa]","NA",150,150,1714484435818,1714484356970,78.848
"13",21,"novice",2,0,0.8,0.2,0.2,3,"E","circle-[aa]","NA",150,300,1714484437059,1714484356970,80.089
"14",21,"novice",2,0,0.8,0.2,0.2,4,"E","circle-[aa]","NA",150,450,1714484438138,1714484356970,81.168
"15",21,"novice",2,0,0.8,0.2,0.2,5,"E","circle-[aa]","NA",150,600,1714484439233,1714484356970,82.263
"16",21,"novice",2,0,0.8,0.2,0.2,6,"E","circle-[aa]","NA",150,750,1714484440312,1714484356970,83.342
"17",21,"novice",2,0,0.8,0.2,0.2,7,"E","circle-[aa]","NA",150,900,1714484441369,1714484356970,84.399
"18",21,"novice",2,0,0.8,0.2,0.2,8,"E","circle-[aa]","NA",150,1050,1714484442421,1714484356970,85.451
"19",21,"novice",2,0,0.8,0.2,0.2,9,"E","circle-[aa]","NA",150,1200,1714484443913,1714484356970,86.943
"20",21,"novice",2,0,0.8,0.2,0.2,10,"E","circle-[aa]","NA",150,1350,1714484445097,1714484356970,88.127
"21",21,"novice",3,0,0.8,0.2,0.2,1,"F","circle-a-circle-a","0",0,0,1714484450196,1714484356970,93.226
"22",21,"novice",3,0,0.8,0.2,0.2,2,"F","square-a-square-a","0",0,0,1714484453282,1714484356970,96.312
"23",21,"novice",3,0,0.8,0.2,0.2,3,"F","circle-a-square-a","1",0,0,1714484455684,1714484356970,98.714
"24",21,"novice",3,0,0.8,0.2,0.2,4,"F","circle-b-square-[aa]","0",0,0,1714484466788,1714484356970,109.818
"25",21,"novice",3,0,0.8,0.2,0.2,5,"F","square-[aa]-square-b","0",0,0,1714484469339,1714484356970,112.369
"26",21,"novice",3,0,0.8,0.2,0.2,6,"F","square-[aa]-square-c","0",0,0,1714484471683,1714484356970,114.713
"27",21,"novice",3,0,0.8,0.2,0.2,7,"F","square-[aa]-square-d","0",0,0,1714484474025,1714484356970,117.055
"28",21,"novice",3,0,0.8,0.2,0.2,8,"F","circle-d-square-[aa]","0",0,0,1714484475909,1714484356970,118.939
"29",21,"novice",3,0,0.8,0.2,0.2,9,"F","circle-e-square-[aa]","0",0,0,1714484478210,1714484356970,121.24
"30",21,"novice",3,0,0.8,0.2,0.2,10,"E","square-[aa]","NA",150,150,1714484480134,1714484356970,123.164
"31",21,"novice",4,0,0.2,0.8,0.2,1,"F","circle-a-circle-a","0",0,0,1714484484405,1714484356970,127.435
"32",21,"novice",4,0,0.2,0.8,0.2,2,"F","circle-b-circle-b","0",0,0,1714484486656,1714484356970,129.686
