"","id","condition","task_id","knowledge","density","highCombo","step_id","action","item_selection","feedback","immediate_score","total_score","timestamp","start_time","task_sec"
"1",1,"novice-high",1,"novice","high","diamond-square",1,"F","diamond-a-diamond-f","0",0,0,1716405820959,1716405728422,92.537
"2",1,"novice-high",1,"novice","high","diamond-square",2,"F","diamond-a-diamond-b","0",0,0,1716405823691,1716405728422,95.269
"3",1,"novice-high",1,"novice","high","diamond-square",3,"F","circle-a-circle-f","0",0,0,1716405826535,1716405728422,98.113
"4",1,"novice-high",1,"novice","high","diamond-square",4,"F","triangle-a-triangle-e","0",0,0,1716405833821,1716405728422,105.399
"5",1,"novice-high",1,"novice","high","diamond-square",5,"F","circle-c-diamond-c","0",0,0,1716405837134,1716405728422,108.712
"6",1,"novice-high",1,"novice","high","diamond-square",6,"E","square-d","NA",100,100,1716405839783,1716405728422,111.361
"7",1,"novice-high",1,"novice","high","diamond-square",7,"F","square-a-square-d","0",0,100,1716405842847,1716405728422,114.425
"8",1,"novice-high",1,"novice","high","diamond-square",8,"F","square-d-triangle-d","0",0,100,1716405845851,1716405728422,117.429
"9",1,"novice-high",1,"novice","high","diamond-square",9,"E","circle-c","NA",100,200,1716405847761,1716405728422,119.339
"10",1,"novice-high",1,"novice","high","diamond-square",10,"E","circle-a","NA",100,300,1716405849138,1716405728422,120.716
"11",1,"novice-high",2,"novice","high","circle-square",1,"F","circle-a-circle-a","0",0,0,1716405853978,1716405728422,125.556
"12",1,"novice-high",2,"novice","high","circle-square",2,"F","circle-a-triangle-a","0",0,0,1716405856544,1716405728422,128.122
"13",1,"novice-high",2,"novice","high","circle-square",3,"F","square-a-triangle-d","0",0,0,1716405859170,1716405728422,130.748
"14",1,"novice-high",2,"novice","high","circle-square",4,"F","square-e-square-e","0",0,0,1716405862275,1716405728422,133.853
"15",1,"novice-high",2,"novice","high","circle-square",5,"F","diamond-f-square-a","0",0,0,1716405865609,1716405728422,137.187
"16",1,"novice-high",2,"novice","high","circle-square",6,"F","diamond-d-triangle-d","0",0,0,1716405868417,1716405728422,139.995
"17",1,"novice-high",2,"novice","high","circle-square",7,"E","triangle-a","NA",100,100,1716405870177,1716405728422,141.755
"18",1,"novice-high",2,"novice","high","circle-square",8,"F","circle-c-circle-f","0",0,100,1716405873641,1716405728422,145.219
"19",1,"novice-high",2,"novice","high","circle-square",9,"F","circle-c-square-c","1",0,100,1716405876703,1716405728422,148.281
"20",1,"novice-high",2,"novice","high","circle-square",10,"E","square-[cc]","NA",150,250,1716405879543,1716405728422,151.121
"21",1,"novice-high",3,"novice","high","square-square",1,"F","diamond-a-triangle-a","0",0,0,1716405886815,1716405728422,158.393
"22",1,"novice-high",3,"novice","high","square-square",2,"F","circle-d-square-d","0",0,0,1716405890472,1716405728422,162.05
"23",1,"novice-high",3,"novice","high","square-square",3,"F","square-d-square-d","1",0,0,1716405892635,1716405728422,164.213
"24",1,"novice-high",3,"novice","high","square-square",4,"F","square-[dd]-square-d","1",0,0,1716405897287,1716405728422,168.865
"25",1,"novice-high",3,"novice","high","square-square",5,"F","square-[[dd]d]-square-[dd]","1",0,0,1716405900315,1716405728422,171.893
"26",1,"novice-high",3,"novice","high","square-square",6,"F","square-[[[dd]d][dd]]-square-[[dd]d]","1",0,0,1716405903305,1716405728422,174.883
"27",1,"novice-high",3,"novice","high","square-square",7,"E","square-[[[[dd]d][dd]][[dd]d]]","NA",507,507,1716405905948,1716405728422,177.526
"28",1,"novice-high",3,"novice","high","square-square",8,"E","square-[[[[dd]d][dd]][[dd]d]]","NA",507,1014,1716405908074,1716405728422,179.652
"29",1,"novice-high",3,"novice","high","square-square",9,"E","square-[[[[dd]d][dd]][[dd]d]]","NA",507,1521,1716405910945,1716405728422,182.523
"30",1,"novice-high",3,"novice","high","square-square",10,"E","square-[[[[dd]d][dd]][[dd]d]]","NA",507,2028,1716405912611,1716405728422,184.189
"31",1,"novice-high",4,"novice","high","diamond-triangle",1,"F","circle-a-triangle-a","0",0,0,1716405919509,1716405728422,191.087
"32",1,"novice-high",4,"novice","high","diamond-triangle",2,"F","triangle-d-triangle-f","0",0,0,1716405923371,1716405728422,194.949
